Tri?u ch?ng,Khoa,T? v?n
"Ng?a, m?n ??",Da li?u,"Ng?a, m?n ??,Da li?u"
"Da khô, n?t n?",Da li?u,"Da khô, n?t n?,Da li?u"
"S?ng, ?au, ??, ?n ?au",Da li?u,"S?ng, ?au, ??, ?n ?au,Da li?u"
N?i m?n ??,Da li?u,"N?i m?n ??,Da li?u"
"Da b? s?n sùi, bong tróc",Da li?u,"Da b? s?n sùi, bong tróc,Da li?u"
"N?i v?y, bong tróc",Da li?u,"N?i v?y, bong tróc,Da li?u"
"Da s?n, khô, m?n ??",Da li?u,"Da s?n, khô, m?n ??,Da li?u"
"Da ??, viêm, ng?a",Da li?u,"Da ??, viêm, ng?a,Da li?u"
"?au, rát, s?ng, ??",Da li?u,"?au, rát, s?ng, ??,Da li?u"
"S?ng, n?i m?n ??",Da li?u,"S?ng, n?i m?n ??,Da li?u"
"S?ng, nóng, ??",Da li?u,"S?ng, nóng, ??,Da li?u"
"B? ng?a, ?au, n?i ??m ??",Da li?u,"B? ng?a, ?au, n?i ??m ??,Da li?u"
"Da b? khô, n?t n?, ?au",Da li?u,"Da b? khô, n?t n?, ?au,Da li?u"
"N?i v?y, ng?a, ?au",Da li?u,"N?i v?y, ng?a, ?au,Da li?u"
"Da b? khô, ?au, n?t n?",Da li?u,"Da b? khô, ?au, n?t n?,Da li?u"
"S?ng, ?au, ng?a, n?i m?n ??",Da li?u,"S?ng, ?au, ng?a, n?i m?n ??,Da li?u"
"N?i m?n ??, viêm, ng?a",Da li?u,"N?i m?n ??, viêm, ng?a,Da li?u"
"N?i m?n ??, b? ng?a, ?au",Da li?u,"N?i m?n ??, b? ng?a, ?au,Da li?u"
"Da b? s?ng, ?au, n?i m?n ??",Da li?u,"Da b? s?ng, ?au, n?i m?n ??,Da li?u"
"Da b? s?n sùi, ng?a, ?au",Da li?u,"Da b? s?n sùi, ng?a, ?au,Da li?u"
"S?ng, ?au, n?i m?n ??, ng?a",Da li?u,"S?ng, ?au, n?i m?n ??, ng?a,Da li?u"
"Da b? n?i v?y, s?ng, ?au",Da li?u,"Da b? n?i v?y, s?ng, ?au,Da li?u"
"N?i m?n ??, s?ng, ?au",Da li?u,"N?i m?n ??, s?ng, ?au,Da li?u"
"Da b? s?ng, ??, n?i v?y",Da li?u,"Da b? s?ng, ??, n?i v?y,Da li?u"
"S?ng, ?au, ng?a, n?i m?n",Da li?u,"S?ng, ?au, ng?a, n?i m?n,Da li?u"
"Da b? n?i m?n ??, ng?a, ?au",Da li?u,"Da b? n?i m?n ??, ng?a, ?au,Da li?u"
"Da b? s?n sùi, ?au, ng?a",Da li?u,"Da b? s?n sùi, ?au, ng?a,Da li?u"
"N?i v?y, ng?a, ?au, s?ng",Da li?u,"N?i v?y, ng?a, ?au, s?ng,Da li?u"
"S?ng, ?au, n?i m?n ??, viêm",Da li?u,"S?ng, ?au, n?i m?n ??, viêm,Da li?u"
"Da b? s?n sùi, n?i m?n ??, ?au",Da li?u,"Da b? s?n sùi, n?i m?n ??, ?au,Da li?u"
"Da b? n?i m?n ??, ng?a, s?ng",Da li?u,"Da b? n?i m?n ??, ng?a, s?ng,Da li?u"
"S?ng, n?i v?y, ?au, n?t n?",Da li?u,"S?ng, n?i v?y, ?au, n?t n?,Da li?u"
"Da b? n?i m?n ??, s?ng, ?au",Da li?u,"Da b? n?i m?n ??, s?ng, ?au,Da li?u"
"S?ng, ?au, ng?a, n?i v?y",Da li?u,"S?ng, ?au, ng?a, n?i v?y,Da li?u"
"N?i m?n ??, s?ng, ?au, ng?a",Da li?u,"N?i m?n ??, s?ng, ?au, ng?a,Da li?u"
"Da b? n?i v?y, ?au, s?ng",Da li?u,"Da b? n?i v?y, ?au, s?ng,Da li?u"
"N?i m?n ??, s?ng, ?au, ng?a",Da li?u,"N?i m?n ??, s?ng, ?au, ng?a,Da li?u"
"S?ng, ?au, n?i v?y, ng?a",Da li?u,"S?ng, ?au, n?i v?y, ng?a,Da li?u"
"Da b? khô, n?t n?, n?i m?n ??",Da li?u,"Da b? khô, n?t n?, n?i m?n ??,Da li?u"
"S?ng, ?au, n?i m?n ??, s?n sùi",Da li?u,"S?ng, ?au, n?i m?n ??, s?n sùi,Da li?u"
"Da b? s?ng, ?au, n?i v?y, n?t n?",Da li?u,"Da b? s?ng, ?au, n?i v?y, n?t n?,Da li?u"
"N?i m?n ??, ?au, ng?a, s?ng",Da li?u,"N?i m?n ??, ?au, ng?a, s?ng,Da li?u"
"Da b? n?i v?y, s?n sùi, ng?a",Da li?u,"Da b? n?i v?y, s?n sùi, ng?a,Da li?u"
"S?ng, ?au, n?i m?n ??, bong tróc",Da li?u,"S?ng, ?au, n?i m?n ??, bong tróc,Da li?u"
"Da b? s?n sùi, ?au, n?i m?n ??",Da li?u,"Da b? s?n sùi, ?au, n?i m?n ??,Da li?u"
"N?i v?y, s?ng, ?au, m?n ??",Da li?u,"N?i v?y, s?ng, ?au, m?n ??,Da li?u"
"Da b? khô, s?n sùi, n?i m?n ??",Da li?u,"Da b? khô, s?n sùi, n?i m?n ??,Da li?u"
"S?ng, ?au, n?i m?n ??, b? n?t n?",Da li?u,"S?ng, ?au, n?i m?n ??, b? n?t n?,Da li?u"
"N?i v?y, s?ng, ?au, n?i m?n ??",Da li?u,"N?i v?y, s?ng, ?au, n?i m?n ??,Da li?u"
"Da b? ng?a, ?au, n?i m?n ??, s?ng t?y",Da li?u,"Da b? ng?a, ?au, n?i m?n ??, s?ng t?y,Da li?u"
"M?t ng?, ?au kh?p",N?i ti?t,"M?t ng?, ?au kh?p,N?i ti?t"
"Ti?u ???ng, thi?u máu",N?i ti?t,"Ti?u ???ng, thi?u máu,N?i ti?t"
"Ti?u ???ng, béo phì",N?i ti?t,"Ti?u ???ng, béo phì,N?i ti?t"
"Ti?u ???ng, m?t m?i",N?i ti?t,"Ti?u ???ng, m?t m?i,N?i ti?t"
"Ti?u ???ng, t?ng huy?t áp",N?i ti?t,"Ti?u ???ng, t?ng huy?t áp,N?i ti?t"
"Ti?u ???ng, ?au ??u",N?i ti?t,"Ti?u ???ng, ?au ??u,N?i ti?t"
"Ti?u ???ng, ?au x??ng kh?p",N?i ti?t,"Ti?u ???ng, ?au x??ng kh?p,N?i ti?t"
"Ti?u ???ng, s?i th?n",N?i ti?t,"Ti?u ???ng, s?i th?n,N?i ti?t"
"Ti?u ???ng, suy gi?m trí nh?",N?i ti?t,"Ti?u ???ng, suy gi?m trí nh?,N?i ti?t"
"Ti?u ???ng, táo bón",N?i ti?t,"Ti?u ???ng, táo bón,N?i ti?t"
"Ti?u ???ng, b?nh gan nhi?m m?",N?i ti?t,"Ti?u ???ng, b?nh gan nhi?m m?,N?i ti?t"
"Béo phì, khó th?",N?i ti?t,"Béo phì, khó th?,N?i ti?t"
"Béo phì, ?au l?ng",N?i ti?t,"Béo phì, ?au l?ng,N?i ti?t"
"Béo phì, m?t ng?",N?i ti?t,"Béo phì, m?t ng?,N?i ti?t"
"Béo phì, ho?ng lo?n",N?i ti?t,"Béo phì, ho?ng lo?n,N?i ti?t"
"Béo phì, m?t trí nh?",N?i ti?t,"Béo phì, m?t trí nh?,N?i ti?t"
"Béo phì, ti?u ?êm nhi?u l?n",N?i ti?t,"Béo phì, ti?u ?êm nhi?u l?n,N?i ti?t"
"Béo phì, khó tiêu hóa",N?i ti?t,"Béo phì, khó tiêu hóa,N?i ti?t"
"Béo phì, ?au kh?p",N?i ti?t,"Béo phì, ?au kh?p,N?i ti?t"
"T?ng huy?t áp, ?au ??u",N?i ti?t,"T?ng huy?t áp, ?au ??u,N?i ti?t"
"T?ng huy?t áp, chóng m?t",N?i ti?t,"T?ng huy?t áp, chóng m?t,N?i ti?t"
"T?ng huy?t áp, bu?n nôn",N?i ti?t,"T?ng huy?t áp, bu?n nôn,N?i ti?t"
